INSERT INTO `owl_logs` VALUES ('2021-09-02 19:32:31', '12', 'ch577', 'ch573;ch579;ch577;ch578;ch580;', 'rolls his rope around the guy\'s hands and starts to frisk all of his body')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:33:06', '34', 'ch573', 'ch573;', ' died')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:34:01', '4', 'ch575', 'ch573;', 'REVIVED from PK')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:36:42', '18', 'ch575', 'ch575;ch573;ch576;ch579;ch577;ch578;ch580;', 'mchya t zab')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:36:53', '13', 'ch576', 'ch575;ch573;ch576;ch579;ch577;ch578;ch580;', 'You\'d hear a series of loud assault rifle gunshots echoing throughout the vicinity')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:38:09', '12', 'ch580', 'ch575;ch580;', 'opens/closes the gate')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:39:20', '18', 'ch575', 'ch575;ch573;ch576;ch579;ch577;ch578;ch580;', 'Rec dakchi li ghadi dir')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:39:29', '18', 'ch575', 'ch575;ch573;ch576;ch579;ch577;ch578;ch580;', '7ta iji')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:40:33', '19', 'ch573', 'ch573;ch575;ch576;ch579;ch577;ch580;', 'English Eyyyy')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:42:05', '8', 'ch577', 'ch573;ch579;ch577;ch580;', 'hhhhhhhhhhhhh')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:42:06', '27', 'ac465', 'ac465;ch575;', 'Disconnected (Quit')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:42:33', '27', 'ac465', 'ac465;', 'Connected from 196.206.68.44 - 7F3707543AA445EC1F81A41F09A7E893')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:42:42', '27', 'ac465', 'ac465;ch575;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:43:02', '7', 'ch577', 'ch577;ch579;ch580;', 'English: Tv d zb')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:43:07', '7', 'ch577', 'ch577;ch579;ch580;', 'English: Ch3el')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:43:20', '34', 'ch579', 'ch579;ch580;', ' got killed by Kane Sanders (Fist)')
