[0:26:18] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoveh
[0:26:18] (PlayerName:LSRP_Player#1288 | UserName:) :pickball
[0:26:21] (PlayerName:LSRP_Player#1288 | UserName:) :pickball
[0:26:22] (PlayerName:LSRP_Player#1288 | UserName:) :friends
[0:26:24] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :hidenadmin
[0:26:30] (PlayerName:Scott_Lopez | UserName:haytamix) :gate
[0:26:30] (PlayerName:Scott_Lopez | UserName:haytamix) :ar 1
[0:26:30] (PlayerName:Scott_Lopez | UserName:haytamix) :gate
[0:26:30] (PlayerName:Scott_Lopez | UserName:haytamix) :ar 1
[0:26:31] (PlayerName:LSRP_Player#1288 | UserName:ASPRO) :SEEFAR 250
[0:26:32] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :revive Emilio_Valdermino
[0:26:33] (PlayerName:Scott_Lopez | UserName:haytamix) :goto Josef_Descender
[0:26:37] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :revive Emilio_Valdermino
[0:26:41] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon   
[0:26:46] (PlayerName:Scott_Lopez | UserName:haytamix) :goto Josef_Descender
[0:26:51] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon   3
[0:26:51] (PlayerName:Scott_Lopez | UserName:haytamix) :get
[0:27:1] (PlayerName:Scott_Lopez | UserName:haytamix) :pm Josef_Descender wa7el ?
[0:27:5] (PlayerName:Josef_Descender | UserName:N1CHO) :me i died :/
[0:27:6] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :gate
[0:27:7] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :m LSDP !! W9ef 3el Limen ou sket Lmotorr
[0:27:10] (PlayerName:Scott_Lopez | UserName:haytamix) :gethere
[0:27:10] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :gate
[0:27:20] (PlayerName:Scott_Lopez | UserName:haytamix) :gethere Josef_Descender
[0:27:27] (PlayerName:Scott_Lopez | UserName:haytamix) :revive Josef_Descender
[0:27:32] (PlayerName:Scott_Lopez | UserName:haytamix) :is Emilio_Valdermino
[0:27:34] (PlayerName:Jeffry_Cross | UserName:ASPRO) :seefar 250
[0:27:34] (PlayerName:Scott_Lopez | UserName:haytamix) :is teleporta
[0:27:39] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon   
[0:27:45] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :goto scot
[0:27:47] (PlayerName:Josef_Descender | UserName:N1CHO) :me jo3
[0:27:50] (PlayerName:Scott_Lopez | UserName:haytamix) :sethp Josef_Descender 100
[0:27:51] (PlayerName:Recardo_Ringo | UserName:badr) :crack
[0:28:1] (PlayerName:Scott_Lopez | UserName:haytamix) :showfactions
[0:28:10] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :goto jose
[0:28:16] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :goto jose
