[0:6:57] (PlayerName:Josef_Descender | UserName:N1CHO) :mrevive 1
[0:6:58] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:6:59] (PlayerName:Bruce_Parker | UserName:abdouzaza) :glue
[0:7:0] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:7:9] (PlayerName:Alfred_Apatchi | UserName:MOSTAFA) :dance 3
[0:7:13] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:7:16] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:7:19] (PlayerName:Bruce_Parker | UserName:abdouzaza) :glue
[0:7:23] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gotoveh 328
[0:7:27] (PlayerName:Alfred_Apatchi | UserName:MOSTAFA) :clearchat
[0:7:29] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:7:30] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gethere Kedon_Slovis
[0:7:31] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:7:35] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:7:38] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:7:44] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gethere Jacob_Jack
[0:7:46] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me kayhdr fe radio
[0:7:49] (PlayerName:Mario_Latino | UserName:marouane) :me kaydwi fradio
[0:7:50] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :er
[0:8:0] (PlayerName:Jacob_Jack | UserName:ayoubbnm) :kandir / Kan7yde smta
[0:8:0] (PlayerName:Jacob_Jack | UserName:ayoubbnm) :me kandir / kan7yde smta
[0:8:3] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gotoveh 181
[0:8:4] (PlayerName:Alfred_Apatchi | UserName:MOSTAFA) :is wa evano tipa 3liya fach tsali wsrbi
[0:8:6] (PlayerName:Ronald_Nimitz | UserName:adolf) :pay 4 100
[0:8:7] (PlayerName:Alfred_Apatchi | UserName:MOSTAFA) :dance 3
[0:8:10] (PlayerName:Mario_Latino | UserName:marouane) :respawnveh 220
[0:8:10] (PlayerName:Ronald_Nimitz | UserName:adolf) :pay 4 50
[0:8:13] (PlayerName:Ronald_Nimitz | UserName:adolf) :pay 4 50
[0:8:13] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:8:13] (PlayerName:Evan_Henry | UserName:AnaSs) :is ok
[0:8:22] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gotoveh 109
[0:8:25] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gotoveh 109
[0:8:31] (PlayerName:Jeffry_Cross | UserName:ASPRO) :GOTOVEH 109
[0:8:31] (PlayerName:Mario_Latino | UserName:marouane) :sellproperty
[0:8:32] (PlayerName:Bruce_Parker | UserName:abdouzaza) :r shit
[0:8:35] (PlayerName:Bruce_Parker | UserName:abdouzaza) :r locka lbab
[0:8:35] (PlayerName:Josef_Descender | UserName:N1CHO) :goto Jeffry_Cross
[0:8:40] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me kayhdr fe radio
[0:8:42] (PlayerName:Josef_Descender | UserName:N1CHO) :goto Jeffry_Cross
[0:8:42] (PlayerName:Jeffry_Cross | UserName:ASPRO) :getveh 181
[0:8:48] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:8:49] (PlayerName:Yone_Fizi | UserName:shanki1z) :resettable 10
[0:8:49] (PlayerName:Josef_Descender | UserName:N1CHO) :is sf?
[0:8:53] (PlayerName:Jeffry_Cross | UserName:ASPRO) :is safy
[0:8:54] (PlayerName:Ronald_Nimitz | UserName:adolf) :/m kayjbd l menotte ou kayminto
[0:8:56] (PlayerName:Josef_Descender | UserName:N1CHO) :goto Fayyo_Sky
[0:9:1] (PlayerName:Ronald_Nimitz | UserName:adolf) :dance
[0:9:2] (PlayerName:Paul_Robert | UserName:Adnane) :gotoveh 357
[0:9:4] (PlayerName:Ronald_Nimitz | UserName:adolf) :dance1
[0:9:7] (PlayerName:Josef_Descender | UserName:N1CHO) :supervise
[0:9:10] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:9:11] (PlayerName:Josef_Descender | UserName:N1CHO) :getveh 336
[0:9:12] (PlayerName:Jeffry_Cross | UserName:ASPRO) :park
[0:9:15] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :toll
[0:9:19] (PlayerName:Jeffry_Cross | UserName:ASPRO) :fp
